Theme,Sub Theme,Feature Name,x_cor,y_cor,des,picture_url
Leisure/Recreation,Leisure/Recreation,Coles Book Arcade,-37.814029,144.964717,"Cole's Book Arcade opened in 1883 in what is now the Bourke Street Mall. It boasted over 2 million new and second hand books and was famous around the world. The store offered a jovial atmosphere for its customers with a pianist, a fernery and menagerie, along with toys and a confectionery department. Cole provided comfortable chairs for customers and encouraged them to read without buying. Cole also published many editions of his own picture book, Cole's Funny Picture Book, which sold in the hundreds of thousands. EW Cole died in 1918, but the Melbourne Arcade continued until 1929.",https://upload.wikimedia.org/wikipedia/commons/9/9e/BourkeStreetMall-rain.jpg
Leisure/Recreation,Leisure/Recreation,St. Francis Church,-37.81173325,144.9624786,"St Francis Church is the oldest Catholic Church in Melbourne, built originally as a wooden church in 1841 and designed by Samuel Jackson. It was rebuilt and reopened in 1845 and subsequently had various features added, such as _垄芒____adye Chapel_垄芒__⑩_?in the mid-1850s. It is still very popular today - with over 10,000 weekly attendees.",https://upload.wikimedia.org/wikipedia/commons/7/74/Saint_Francis_Church_Melbourne_01.jpg
Leisure/Recreation,Leisure/Recreation, Public Library,-37.81000137,144.9649963,"The competition to design the State Library of Victoria was won by Joseph Reed, the architect of many of Melbourne's notable buildings. The first Library building opened in February 1856, during the Victorian gold rush. The building, which is in fact made up of 23 buildings, takes up an entire city block. It has also housed, for a time, the Museum and National Gallery of Victoria. Highlights include the grand portico, the spectacular domed La Trobe Reading Room and the splendid Redmond Barry Reading Room. A fully history of the Library is available online.",https://upload.wikimedia.org/wikipedia/commons/7/78/State_Library_of_Victoria_-_right_side.jpg
Leisure/Recreation,Leisure/Recreation, Mint,-37.81221771,144.957077,"The Melbourne Mint was opened in 1872. Modelled after the Palazzo_炉_驴_陆Vidoni-Caffarelli_炉_驴_陆in Rome, the original plans by Ward & Comber called for a building three storey high and almost double the width of the building we see today. However William Wardell, the Inspector-General of Public Works, was instructed to reduce costs, so architect John James Clark modified the plans to a more restrained two storeys. From 1916 to the 1960s, most of the coins produced in Australia were created on this site. After decimal currency was introduced in the late 1960s, and the Commonwealth Mint in Canberra was opened, there was no longer a need for a mint in Melbourne. The building is now home to the Hellenic Museum. ",https://upload.wikimedia.org/wikipedia/commons/9/93/Melbourne_Mint_corner.jpg
Leisure/Recreation,Leisure/Recreation,Leviathan Corner,-37.813434,144.965256,"The Leviathan was designed by Bates, Peebles & Smart and completed in 1913. The Leviathan Clothing Store was the first large clothing department store established in the centre of Melbourne. The original white fa_炉_驴_陆ade and elegant detailing beneath the windows highlight this Edwardian design.",https://upload.wikimedia.org/wikipedia/commons/7/72/Leviathan_building_bourke_street_melbourne.jpg
Leisure/Recreation,Leisure/Recreation,Queensland Building,-37.817168,144.959167," The Queensland building was built in 1913 and designed by Walter Butler and Richard Norman Bradshaw.  This brick and sandstone six storey building was the headquarters of the Queensland Insurance Company.  Butler was influenced by the English Arts and Craft movement, which applied detailed decoration to buildings. On the ground floor of the Queensland building you can see carved images of flowers and fruit.  Another feature of this Edwardian classic is the semi- circular matching bays windows, which rise to a pair of balconettes .",https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16244951
Leisure/Recreation,Leisure/Recreation,The   Athenaeum,-37.81483841,144.9672546,"The Athenaeum, designed by Smith and Johnson, began life as the Mechanics Institute in 1839. In 1873 a public lending library was introduced and it still operates there today. The building was completed in 1886. It was converted into a cinema in 1924 when it premiered talking pictures in Australia. Today it is used for plays, musicals and every year it hosts the Melbourne International Comedy festival.",https://upload.wikimedia.org/wikipedia/commons/8/8c/Melbourne_Athenaeum_2020.jpg
Leisure/Recreation,Leisure/Recreation,Parliament House,-37.81125935,144.9733765,"Parliament House commenced construction in 1856, and was continually added to until 1929. This is one of Australia_炉_驴_陆s premier 19th century buildings. Designed by government architect, Charles Pasley, the location was selected by colonial surveyor, Robert Hoddle, who placed it at the top of Bourke Street to overlook the city. The strong European influence is reflected in the Romanesque grand columns and Classical Greek sculptural reliefs. The original design also included a dome, but was cancelled due to cost. The building was used the Commonwealth Parliament from 1901-1927.",https://upload.wikimedia.org/wikipedia/commons/1/16/Parliament_House_Melbourne_2010.jpg
Leisure/Recreation,Leisure/Recreation,Manchester Unity Building,-37.815492,144.966541,"The Manchester Unity Building, designed by Marcus Barlow, was built in 1932 and was the tallest building in Melbourne at that time. Inspired by Chicago_炉_驴_陆s Tribune Tower, the Unity building was erected during the depression and employed workers around the clock. The 11 floors were added in just three months. Its prominent tower and graceful design makes it one of Melbourne_炉_驴_陆s most elegant buildings.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Manchester_Unity_Building_2021.jpg
Leisure/Recreation,Leisure/Recreation,Aerial View Of Spring Street,-37.809459,144.972097,"Aerial view along Spring Street towards South Melbourne, showing Parliament Gardens, Parliament House and Treasury Building, with Yarra River and Government House in distance. Windsor Hotel near centre, Princess Theatre at lower right.",https://upload.wikimedia.org/wikipedia/commons/9/9f/Caroline_Springs_Vic_aerial2.jpg
Leisure/Recreation,Leisure/Recreation, Town Hall,-37.8153,144.966435,"The Melbourne Town Hall was opened in 1870 and was designed by prominent architect Joseph Reed, who is responsible for a number of Melbourne buildings. The Town Hall was constructed from a mix of bluestone and Tasmania freestone, and features include the Town Hall clock, made by Smith and Sons of London, and the portico, which was added in the 1880s. As well acting as the central municipal building, it is a venue for live theatre, music, comedy and weddings.",https://upload.wikimedia.org/wikipedia/commons/5/53/Melbourne_Town_Hall_%28December_2014%29.jpg
Leisure/Recreation,Leisure/Recreation,Opera House,-37.81334305,144.9663239,"The Tivoli Arcade is all that is left of the original Tivoli Theatre, which suffered extensive fire damage in 1967. From 1914 through 1966, the Tivoli was one of Melbourne_炉_驴_陆s most popular vaudeville theatres. Designed by William Pitt, it was originally named the New Opera House which showed the first motion picture in Australia. The venue subsequently hosted a plethora of international entertainers such as Houdini, WC Fields, Shirley Bassey and Chico Marx.",https://upload.wikimedia.org/wikipedia/commons/4/48/The_Opera_House%2C_Wellington.jpg
Leisure/Recreation,Leisure/Recreation,Royal Arcade,-37.81409836,144.9640045,"The Royal Arcade was opened in 1870 and is Melbourne_炉_驴_陆s oldest arcade, designed by Charles Webb. The arcade features statues of the mythical characters Gog and Magog on either side of Gaunt_炉_驴_陆s Clock, installed by Thomas Gaunt who established Melbourne's leading watchmaking, optical and jewellery business. Royal Arcade offers boutique shopping beneath an elegant glass ceiling. The high, graceful arches reflect the European influence in the building.",https://upload.wikimedia.org/wikipedia/commons/3/31/Block_Arcade_Melbourne.jpg
Leisure/Recreation,Leisure/Recreation,Colonial Mutual,-37.816345,144.963683,"Colonial Mutual Building was built in 1894 and designed by Edward E Raht - this seven storey building was one of the grandest Melbourne has seen. Marble was imported for the floors and walls and local granite used for construction. Its heavy set and broad columns dominated the street and dwarfed passers-by. The arch entrance featured a metal sculpture showing a figure protecting a mother and children, which has since been relocated to the University of Melbourne. The building was demolished in 1960 when it was no longer economically viable to preserve it.",https://upload.wikimedia.org/wikipedia/commons/1/1d/CML_Building_standing_alone.jpg
Leisure/Recreation,Leisure/Recreation,Holyman House,-37.819033,144.961251,"Designed by John Gill, Holyman House was a three storey bluestone warehouse was built in 1858 for wool merchant Richard Goldsborough. It was originally used to house wool before delivery to the nearby docks. The first storey window pediments alternate between arched and pointed, and the well-proportioned and symmetrical design reflects an Italian Renaissance influence.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Holyman_House%2C_Launceston.JPG
Leisure/Recreation,Leisure/Recreation,Capitol Theatre,-37.81494904,144.9659576,"The Capitol Theatre opened in 1924 and was designed by Walter Burley Griffin and Marion Mahony Griffin. The Capitol theatre_炉_驴_陆s highlight is the art deco plaster ceiling, which contains hidden lights. Originally it operated as Melbourne_炉_驴_陆s first picture palace. Despite demolition of the ground floor and stalls, the upper foyers and the front facade remain unharmed. In 1999, it was purchased by Royal Melbourne Institute of Technology, but it still operates as a public film and live performance venue.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Capitol_Theatre_Melbourne_white_lighting.jpg
Leisure/Recreation,Leisure/Recreation,Elizabeth Street,-37.814248,144.963159,"Beehive Clothing Company occupied a two storey building on the corner of Bourke and Elizabeth Streets. It was a large merchant tailor store built in the 1870s and demolished in the early 1900s. It was replaced with the London Stores, completed in 1925 and still in use today.",https://upload.wikimedia.org/wikipedia/commons/2/2d/Elizabeth_St_Melbourne_2010.jpg
Leisure/Recreation,Leisure/Recreation,Spencer Street Bridge,-37.82219696,144.9548035,The Spencer Street Bridge was built by the Victorian Railways Construction Branch in 1929-30.  The demand for the bridge demonstrated the growing importance of motor vehicle traffic to Melbourne's commerce.,https://upload.wikimedia.org/wikipedia/commons/0/0d/Spencer_Street_Bridge.jpg
Leisure/Recreation,Leisure/Recreation,The Argus And Australasian,-37.815405,144.967597,"The Argus & Australasian building was home to The Argus daily newspaper and The Australasian, a weekly paper, until the Argus Building was constructed in La Trobe Street in 1924. The Argus was established in 1846 and closed in 1957, while The Australasian started in 1864. The Australasian became The Australasian Post in 1946, and the Aussie Post in 1997. The paper closed in 2002.",https://upload.wikimedia.org/wikipedia/commons/0/0c/ArgusOfficeMelbourne.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,-37.80606846,144.9712665,"The Carlton Gardens is a World Heritage Site located on the northeastern edge of the Central Business District in the suburb of Carlton, in Melbourne, Australia. A popular picnic and barbecue area, the heritage-listed Carlton Gardens are home to an array of wildlife, including brushtail possums.",https://upload.wikimedia.org/wikipedia/commons/c/cd/Carlton_gardens.jpg
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581,"The 26-hectare (64-acre) site contains the Royal Exhibition Building, Melbourne Museum and Imax Cinema, tennis courts and an award-winning children's playground. The rectangular site is bound by Victoria Street, Rathdowne Street, Carlton Street, and Nicholson Street. From the Exhibition building the gardens gently slope down to the southwest and northeast. According to the World Heritage listing the Royal Exhibition Buildings and Carlton Gardens are ""of historical, architectural, aesthetic, social and scientific (botanical) significance to the State of Victoria.""",https://upload.wikimedia.org/wikipedia/commons/d/de/State_Netball_Hockey_Centre.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678,"The Carlton Football Club, nicknamed the Blues,
is a professional Australian rules football club that competes in the Australian Football League (AFL) the sport's top professional competition.",https://en.wikipedia.org/wiki/Carlton_Football_Club#/media/File:Carlton_FC_Logo_2020.svg
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.78343039,144.9619826,"Princes Park (or Carlton Recreation Ground,  currently known by its sponsored name Ikon Park) is an Australian rules football ground located inside the wider Princes Park in the inner Melbourne suburb of Carlton North.
It is a historic venue, having been the home ground of the Carlton Football Club since 1897",https://upload.wikimedia.org/wikipedia/commons/5/5b/Ikon_park_04.03.17.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,-37.80176908,144.9719976,"The Carlton Gardens is a World Heritage Site located on the northeastern edge of the Central Business District in the  suburb of Carlton, in Melbourne, Australia. 
A popular picnic and barbecue area,  the heritage-listed Carlton Gardens are home to an array of wildlife, including brushtail possums.",https://upload.wikimedia.org/wikipedia/commons/2/27/Aerial_Photo_of_Royal_Exhibition_Building%2C_Melbourne.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.82552398,144.9741079,"Kings Domain is an area of parklands in Melbourne, Victoria, Australia. It surrounds Government House Reserve,
the home of the governors of Victoria, the Sidney Myer Music Bowl,  and the Shrine Reserve incorporating the Shrine of Remembrance.",https://upload.wikimedia.org/wikipedia/commons/6/63/GovernmentHouseMelbourne1_gobeirne.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143,"Flemington Racecourse is a major horse racing venue located in Melbourne, Victoria,  Australia.
 It is most notable for hosting the Melbourne Cup,  which is the world's richest handicap and the world's richest 3200-metre horse race. The racecourse is situated on low  alluvial flats, next to the Maribyrnong River. The area was first used for horse racing in March 1840.",https://upload.wikimedia.org/wikipedia/commons/5/51/Flemington_main_stand%2C_2013_Melbourne_Cup.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.81439936,144.9759523,"The Treasury Gardens consist of 5.8 hectares (14 acres) on The south - eastern side of The Melbourne Central Business District,
East Melbourne, Victoria, Australia. The gardens are bounded by Wellington Parade, Spring Street, Treasury Place,
and by the Fitzroy Gardens across Lansdowne street to the west. They form part of a network of city gardens including  Fitzroy Gardens, Carlton Gardens,  Flagstaff Gardens and Kings Domain. The gardens are listed on the Victorian Heritage Register for their historical,  archaeological, social,  ""aesthetic and scientific (horticultural) importance for its outstanding nineteenth century design,  path layout and planting"".",https://upload.wikimedia.org/wikipedia/commons/5/52/Treasury_gardens_2.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,-37.82184609,144.9566658,"Batman Park is an urban park, located on the northern bank of the Yarra River in central Melbourne, Victoria, Australia.",https://upload.wikimedia.org/wikipedia/commons/8/89/Batman_Park1.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,-37.821674,144.9881563,"The Richmond Football Club, nicknamed the Tigers,  is an Australian rules football team playing in the Australian Football League (AFL).
Between its inception in the Melbourne suburb of Richmond in 1885 and 1907, the club competed in the Victorian Football Association (VFA),  winning two premierships. Richmond joined the Victorian Football League (now known as the AFL) in 1908 and has since won  13 premierships, most recently in 2020.",https://upload.wikimedia.org/wikipedia/en/3/35/Richmond_Tigers_logo.svg
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029,"The Melbourne Cricket Ground (MCG),  also known locally as ""The 'G"",is an Australian sports stadium located in Yarra Park, Melbourne, Victoria.
Founded and managed by the Melbourne Cricket Club, it is the largest stadium in the Southern Hemisphere, the 11th largest globally,  and the second largest cricket ground by capacity. The MCG is within walking distance of the city centre and is served  by Richmond and Jolimont railway stations, as well as the route 70, route 75,  and route 48 trams. It is adjacent to Melbourne Park and is part of the Melbourne Sports and Entertainment Precinct.",https://upload.wikimedia.org/wikipedia/commons/4/42/2017_AFL_Grand_Final_panorama_during_national_anthem.jpg
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.78444493,144.9513712,"Melbourne Zoo is a zoo in Melbourne, Australia. It is located within Royal Park in Parkville,  approximately 4 kilometres (2.5 mi) north of the centre of Melbourne.
The zoo contains more than 320 animal species from Australia and around the serving Melbourne world, and is accessible via Royal Park station on the Upfield railway line,  and is also accessible via tram routes 58 and 19,  as well as by bicycle on the Capital City Trail. Bicycles are not allowed inside the zoo itself.",https://upload.wikimedia.org/wikipedia/en/7/7a/MelbourneZooLogo.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,-37.82163812,144.9710495,"The Queen Victoria Gardens are Melbourne's memorial to Queen Victoria.
Located on 4.8 hectares (12 acres) opposite the Victorian Arts Centre and the National Gallery of Victoria, bounded by St Kilda Road, Alexandra Avenue and Linlithgow Avenue",https://upload.wikimedia.org/wikipedia/commons/6/6d/Queen_Victoria_Gardens.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,-37.81785166,144.9689636,"Federation Square (colloquially Fed Square) is a venue for arts,  culture and public events on the edge of the Melbourne central business district.
It covers an area of 3.2ha (7.9 acres) at the intersection of Flinders and Swanston Streets built above busy railway lines and across the road from Flinders Street station. It incorporates major cultural institutions such as the Ian  Potter Centre,  Australian Centre for the Moving Image (ACMI) and the Koorie Heritage Trust as well as cafes and bars in a series of  buildings centred around a large paved square, and a glass walled atrium.",https://upload.wikimedia.org/wikipedia/commons/8/85/Federation_Square_%285399921791%29.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,-37.81521788,144.9416179,"New Quay (Welsh:  Cei Newydd) is a seaside town (and electoral ward) in Ceredigion, Wales,  with a resident population of around 1,200 people,[1]
reducing to 1,082 at the 2011 census. Located 19 miles (31 km) south-west of Aberystwyth on Cardigan Bay with a harbour and large sandy beaches,  it lies on the Ceredigion Coast Path. It remains a popular seaside resort and traditional fishing town,[2] with strong  family and literary associations with the poet Dylan Thomas, and his play, Under Milk Wood.",https://upload.wikimedia.org/wikipedia/commons/4/48/New_Quay_Harbour_-_geograph.org.uk_-_558613.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,-37.82099568,144.9467817,"Docklands (also known as Melbourne Docklands to differentiate it from London Docklands) is an inner-city suburb in  Melbourne, Victoria, Australia, 2 km (1.2 mi) west of Melbourne's Central Business District,
located within the City of Melbourne local government area. Docklands recorded a population of 15,495 at the 2021 census.",https://upload.wikimedia.org/wikipedia/commons/d/db/Etihad_Stadium%2C_Melbourne_2017-10-28.jpg
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,-37.82472527,144.983803,"The Melbourne Rectangular Stadium, known as AAMI Park for sponsorship reasons,
is an outdoor sports stadium on the site of Edwin Flack Field in the Sports and Entertainment Precinct in the Melbourne  central business district.",https://upload.wikimedia.org/wikipedia/commons/6/6a/Melbourne_Rectangular_Stadium.JPG
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.81161637,144.9375889,"The Melbourne Star (previously Southern Star) is a 120 metre tall observation wheel in the Waterfront City precinct in  the Docklands area of Melbourne,
the state capital of Victoria, Australia.",https://upload.wikimedia.org/wikipedia/commons/9/94/Melbourne_Star_Observation_Wheel.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.82204561,144.9784872,"Rod Laver Arena is a multipurpose located arena within Melbourne Park, in Melbourne, Australia.
The arena is the main venue for the Australian Open, the first Grand Slam tennis tournament of the calendar year.",https://upload.wikimedia.org/wikipedia/commons/8/88/Rod_Laver_Arena_Melbourne_Park_Australian_Open_2023_quarter_final.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.8209086,144.9787358,"Melbourne Park is a sports venue in the Melbourne Sports and Entertainment Precinct in Melbourne, Victoria, Australia.
Since 1988 Australia's bicentenary,  Melbourne Park has been home of the Australian Open Grand Slam tennis tournament played annually in January. The park  has multiple venues where the Australian Open matches take place. Rod Laver Arena is the largest venue with a capacity  Of the 15000, while John Cain Arena seats 10,500 and Margaret Court Arena 7500. The venues feature retractable roofs, allowing events to be played indoors or outdoors. Besides,  there is the Show Court 3 and 1573 Arena which both have a 3,000 seating capacity, and the new 5000-seat Kia Arena (opened in 2022). In total there are 35 outdoor Greenset tennis courts at Melbourne  Park.",https://upload.wikimedia.org/wikipedia/commons/1/14/Melbourne_Park_-_Tennis.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.82132521,144.9775911,"Margaret Court Arena is a multi-purpose sports and entertainment venue located in Melbourne Park in Melbourne,  Victoria, Australia.
The arena, which was built in 1987 and redeveloped in the mid-2010s, has a capacity of 7,500.",https://upload.wikimedia.org/wikipedia/commons/e/e4/Margaret_Court_Arena_%28Australian_Open_2017%29.jpg
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,-37.82311,144.9818348,"John Cain Arena is a multi-purpose sports and entertainment arena located within Melbourne Park in Melbourne,  Victoria, Australia.
It is the second-largest venue and show court for the Australian Open,  the first Grand Slam professional tennis tournament held each calendar year. The arena also hosts various other sporting  and entertainment events throughout the year.",https://upload.wikimedia.org/wikipedia/commons/9/9c/Hisense_Arena_January_2016.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,-37.81806108,144.9731467,"Birrarung Marr is an inner-city park between the central business district in Melbourne, Victoria,  Australia and the Yarra River.
It was opened in 2002. The name refers to the bank of Birrarung, the 'river of mists', in the Woiwurrung language of the Wurundjeri people,  the Indigenous inhabitants at the time of European colonisation of the Melbourne area.",https://upload.wikimedia.org/wikipedia/commons/a/aa/Birrarung_Marr_pedestrian_bridge.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,-37.79883453,144.9414521,"Arden Street Oval (also known as North Melbourne Cricket Ground) is a sports oval in North Melbourne, Victoria.
It is currently the training base of the North Melbourne Football Club, an Australian rules football club,  and up to the end of the 1985 season it was used as the team's home ground for Victorian Football League (VFL) matches.",https://upload.wikimedia.org/wikipedia/commons/c/c4/Arden_street_from_air.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,-37.79823588,144.9238371,"J.J. Holland Park is a large multi-use park in the Melbourne suburb of Kensington. It is named after John Joseph Holland (1877 -- 1955), who was the Member of the Legislative Assembly for Flemington over 30 years from 1925.",https://upload.wikimedia.org/wikipedia/commons/f/f2/J.J._Holland_Park.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,-37.79061743,144.9538342,"Royal Park is the largest of Melbourne 's inner city parks 450 acres (181 hectares).
It is located four kilometres (2.5 mi) north of the Melbourne CBD, in Victoria, Australia, in the suburb of Parkville.",https://upload.wikimedia.org/wikipedia/commons/4/44/Sunset_at_the_Royal_Park%2C_Melbourne.jpg
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,-37.78701617,144.9611152,"Princes Park is a 38.6HACTre (95.4 acre) park in the inner-Melbourne suburb of Carlton North, Victoria.
It is located directly north of the University of Melbourne and bounded on its eastern and western sides by Melbourne  General Cemetery and Royal Parade respectively Although the park consists of a number of Australian rules football  ovals, bowling green of the Prince's Park Carlton Bowls Club Bowls, and a small stretch of parkland, it is best known as the location of Ikon Park, the old Prince's Park Football Ground, the home of the Carlton Football Club. The park also contains a children's playground;  the Within Three Worlds sculpture;  a barbecue and picnic facilities.",https://upload.wikimedia.org/wikipedia/commons/d/de/Princes_Park%2C_Carlton_North%2C_Victoria%2C_Australia.jpg
